Timestamp,What is your year of study?,What is your major/course?,How do you prefer to study?,How would you rate the overall quality of your current courses?  ,How satisfied are you with the lecture delivery by instructors?  ,How engaging are the assignments and projects?  ,"How effective are the course materials (books, slides, online resources)?  ",The instructors explains concepts clearly.  ,The instructors encourage student participation.  ,The instructors are approachable for doubts and discussions.  ,"How well-equipped are the classrooms (projectors, seating, board visibility)?  ",How effective are the practical/lab sessions in reinforcing learning?  ,"How helpful are university resources (library, online databases, study areas)?  ",How many hours per week do you spend studying outside of class?  ,How often do you attend lectures?  ,Do you feel the course workload is manageable?  ,What is/are the biggest challenge affecting your learning?  ,What improvements would you suggest for your courses?  ,Any additional comments or feedback?  
2/18/2025 0:09:44,3rd year,Computer Science and Engineering,Lecture-based learning,4,4,4,4,4,4,4,4,4,4,20,Frequently,"No, it's too much",Difficult course material,More interactive classes,No
2/18/2025 0:34:42,3rd year,Computer science ,Hands-on projects,2,3,3,4,2,3,3,1,2,3,4-5 hrs,Frequently,"No, it's too much","Difficult course material, Ineffective teaching methods, Lack of study resources, Time management, Personal motivation",NA,NA
2/18/2025 8:07:49,3rd year,AIML,Hands-on projects,3,1,2,1,3,3,2,4,5,2,24,Occasionally,Yes,"Difficult course material, Ineffective teaching methods, Lack of study resources, Personal motivation",They should introduce more hands on projects and a more practical approach,
2/18/2025 8:08:55,2nd year,CSE,Self-Study,3,1,4,1,2,2,4,5,3,1,14,Always,"No, it's too much","Ineffective teaching methods, Time management",,
2/18/2025 8:10:12,1st year,ECE,Lecture-based learning,3,1,4,1,5,3,3,5,5,1,20,Frequently,Yes,"Difficult course material, Ineffective teaching methods, Lack of study resources, Time management, Personal motivation",,
2/18/2025 8:11:14,4th year,AI-DS,Hands-on projects,5,5,3,1,3,2,4,1,4,1,26,Always,"No, it's too little","Difficult course material, Personal motivation",,
2/18/2025 8:38:21,1st year,CSE,Lecture-based learning,3,3,5,2,3,4,3,1,5,4,7,Occasionally,"No, it's too much",Time management,Make them better,Nopes
2/18/2025 8:39:07,2nd year,Ece,Hands-on projects,3,4,4,4,4,3,3,4,4,4,4,Always,Yes,Difficult course material,None,None
2/18/2025 8:40:06,3rd year,IT,Self-Study,5,5,5,5,5,5,5,5,5,5,10,Always,"No, it's too little","Ineffective teaching methods, Lack of study resources",No,No
2/18/2025 8:41:05,4th year,EEE,Group discussions,1,1,1,1,1,1,1,1,1,1,0,Rarely,"No, it's too much",Difficult course material,Make it easier for us,Nopes
2/18/2025 9:50:48,3rd year,Computer Science and Engineering ,Lecture-based learning,3,2,4,2,2,1,2,4,1,1,12,Always,Yes,"Ineffective teaching methods, Lack of study resources, Time management",,
2/18/2025 9:53:01,1st year,CSE,Hands-on projects,4,5,3,4,4,5,4,2,4,5,12 hours,Occasionally,Yes,"Ineffective teaching methods, Lack of study resources, Time management",NA,NA
2/18/2025 9:54:41,4th year,ECE,Self-Study,3,3,3,4,5,3,4,3,4,4,3,Always,"No, it's too much","Time management, Personal motivation",Nothing,Nope
2/18/2025 9:56:46,3rd year,Computer Science,Lecture-based learning,4,4,4,3,4,4,4,4,4,4,12,Always,"No, it's too much",Ineffective teaching methods,Teachers should teach something in class,NA
2/18/2025 9:58:41,3rd year,Mechantronics,Hands-on projects,5,5,5,5,4,5,4,3,3,3,5,Frequently,Yes,"Difficult course material, Ineffective teaching methods, Lack of study resources",Nothing,nA
2/18/2025 10:01:36,2nd year,Civil,Hands-on projects,4,5,4,5,3,4,4,5,5,5,8,Always,Yes,"Difficult course material, Ineffective teaching methods, Lack of study resources",No,No
2/18/2025 10:02:47,3rd year,CSE,Lecture-based learning,2,2,4,3,5,4,5,4,5,4,0,Rarely,"No, it's too much","Lack of study resources, Personal motivation",yes,no
2/18/2025 10:04:06,3rd year,CSE,Lecture-based learning,5,5,5,5,4,5,5,5,5,4,4,Occasionally,Yes,"Difficult course material, Ineffective teaching methods",nA,NA
2/18/2025 10:06:22,2nd year,CSE,Lecture-based learning,5,5,5,5,4,5,5,5,5,5,2,Always,Yes,Lack of study resources,I suggest improving the course materials by providing more practical examples and hands-on exercises. It would also be helpful to have more frequent feedback on assignments.,"Overall, the course was informative and well-structured. I appreciated the instructor's availability to answer questions. Thank you for the learning opportunity."
2/18/2025 10:07:47,3rd year,CSE,Lecture-based learning,5,3,4,5,4,5,5,4,4,4,5,Always,"No, it's too little",Time management,NA,"Overall, the course was informative and well-structured. I appreciated the instructor's availability to answer questions. Thank you for the learning opportunity."
2/18/2025 10:09:11,3rd year,cse,Hands-on projects,5,4,5,5,5,5,5,5,5,4,0,Always,Yes,Lack of study resources,nil,nil
2/18/2025 10:09:41,1st year,CSE,Group discussions,5,5,5,5,4,5,4,5,5,5,6,Frequently,Yes,Lack of study resources,The course was good overall.,The course was good overall.
2/18/2025 10:11:07,2nd year,ECE,Self-Study,4,5,5,5,5,4,3,4,3,2,5,Occasionally,"No, it's too much","Difficult course material, Personal motivation",The course was not good overall.,The course was not good overall.
2/18/2025 10:12:14,3rd year,Mechanical,Hands-on projects,5,4,3,2,1,2,3,3,4,4,0,Rarely,"No, it's too much","Difficult course material, Ineffective teaching methods, Lack of study resources, Personal motivation",NA,Bad
2/18/2025 10:14:15,4th year,CSE,Lecture-based learning,4,4,4,4,4,4,4,4,4,4,8,Frequently,Yes,Lack of study resources,No Thanks,No
2/18/2025 10:14:53,3rd year,CSE,Group discussions,3,2,3,1,3,3,2,2,3,3,3-4,Frequently,Yes,"Ineffective teaching methods, Time management, Personal motivation",Better teaching methods,Na
2/18/2025 10:16:22,3rd year,CSE,Group discussions,3,4,3,4,4,5,3,3,4,4,9,Always,Yes,Lack of Good Teachers,More practice exercises and clearer assignment instructions would be helpful.,NA
2/18/2025 10:18:22,3rd year,Koni bera,Self-Study,2,1,1,1,1,1,1,1,1,1,Vo ke h ,Always,"No, it's too much",Lack of study resources,So jao ,150 rupia lega
2/18/2025 10:19:37,3rd year,CSE Core ,Lecture-based learning,3,3,3,4,1,2,1,4,2,4,2 hours ,Frequently,"No, it's too much","Difficult course material, Lack of study resources, Time management",More focus on practical courses,No
2/18/2025 10:21:23,2nd year,CSE,Lecture-based learning,4,5,2,2,3,5,3,3,4,2,9,Frequently,"No, it's too much","Time management, Personal motivation",More practice exercises and clearer assignment instructions would be helpful.,na
2/18/2025 10:22:10,3rd year,B.Tech (Computer Science and Engineering),Hands-on projects,1,1,1,1,1,1,1,1,1,1,20,Always,"No, it's too much","Ineffective teaching methods, Lack of study resources, Time management",Experienced faculty and Advanced learning resources,NIL
2/18/2025 10:26:08,3rd year,Data science ,Hands-on projects,3,4,2,5,1,3,4,3,4,1,Itna lamba form ,Frequently,"No, it's too little",Time management,Aaaree yaar ,Kuch jada nahi ho gaya 
2/18/2025 10:27:19,3rd year,Cse,Self-Study,1,1,1,1,1,1,1,1,1,1,0,Rarely,"No, it's too much","Difficult course material, Ineffective teaching methods, Lack of study resources, Time management, Personal motivation, Pain in ass",Nothing it's fucked,End me
2/18/2025 10:31:30,2nd year,Watermelon juice ,Hands-on projects,4,3,2,4,5,3,3,3,2,1,0,Rarely,"No, it's too much",Lack of study resources,Ok,Ok
2/18/2025 10:33:13,2nd year,CSE,Hands-on projects,4,3,5,4,1,2,2,4,3,5,9,Always,Yes,"Ineffective teaching methods, Lack of study resources",,
2/18/2025 10:34:10,1st year,CSE,Hands-on projects,4,5,3,4,5,3,2,5,4,4,5,Frequently,"No, it's too much","Time management, Personal motivation",,
2/18/2025 10:35:15,2nd year,CSE,Group discussions,4,3,4,4,5,4,3,2,3,3,6,Always,Yes,"Difficult course material, Ineffective teaching methods",,
2/18/2025 10:36:47,3rd year,ECE,Hands-on projects,4,3,4,5,3,4,3,3,4,4,2,Frequently,"No, it's too little","Lack of study resources, Personal motivation",,
2/18/2025 10:37:58,3rd year,CSE,Self-Study,3,4,5,3,3,4,3,5,4,3,9,Always,"No, it's too much",Lack of study resources,,
2/18/2025 10:38:53,2nd year,CSE,Hands-on projects,2,3,2,4,5,4,4,4,4,3,4,Always,Yes,"Difficult course material, Ineffective teaching methods",,
2/18/2025 10:39:53,1st year,CSE,Lecture-based learning,3,4,4,5,5,4,4,3,4,5,9,Always,Yes,"Difficult course material, Ineffective teaching methods, Lack of study resources",,
2/18/2025 10:41:55,3rd year,CSE,Group discussions,4,3,5,4,5,5,5,5,5,5,9,Frequently,Yes,"Difficult course material, Time management",,
2/18/2025 10:42:49,3rd year,CSE,Lecture-based learning,5,4,5,4,4,3,5,4,3,5,9,Frequently,"No, it's too much","Time management, Personal motivation",,
2/18/2025 10:43:53,3rd year,CSE,Self-Study,4,3,4,5,3,4,3,5,4,4,5,Occasionally,Yes,Time management,,
2/18/2025 10:44:36,4th year,Cse,Hands-on projects,5,5,5,5,5,5,5,5,5,5,9,Occasionally,"No, it's too much",Time management,,
2/18/2025 10:44:41,4th year,ECE,Hands-on projects,4,5,4,4,5,5,4,4,5,5,4,Occasionally,"No, it's too much","Ineffective teaching methods, Personal motivation",,
2/18/2025 10:46:09,2nd year,Cse,Hands-on projects,3,3,3,3,4,4,4,4,4,4,9,Occasionally,Yes,"Time management, Personal motivation",,
2/18/2025 10:46:08,3rd year,CSE,Lecture-based learning,5,4,4,4,3,5,3,3,4,5,6,Frequently,Yes,"Time management, Personal motivation",,
2/18/2025 10:46:50,3rd year,CSE,Self-Study,4,4,4,4,4,4,4,4,4,4,5,Occasionally,"No, it's too little",Ineffective teaching methods,,
2/18/2025 10:46:56,3rd year,Cse,Group discussions,4,4,3,4,4,5,4,4,4,4,9,Occasionally,Yes,Personal motivation,,
2/18/2025 10:47:46,3rd year,CSE,Hands-on projects,4,5,5,3,4,3,4,3,5,4,9,Rarely,"No, it's too much",Lack of study resources,,
2/18/2025 10:48:02,3rd year,Cse,Hands-on projects,4,4,4,3,3,4,4,4,4,4,9,Occasionally,"No, it's too much",Difficult course material,,
2/18/2025 10:48:44,3rd year,ECE,Hands-on projects,4,3,3,5,4,3,5,4,5,3,8,Always,Yes,Lack of study resources,,
2/18/2025 10:49:04,3rd year,Cse,Hands-on projects,4,4,4,4,4,4,4,4,4,4,9,Occasionally,"No, it's too little",Time management,,
2/18/2025 10:51:24,2nd year,ECE,Lecture-based learning,4,3,4,5,3,4,4,3,4,3,9,Frequently,Yes,Time management,,
2/18/2025 10:52:27,3rd year,CSE,Lecture-based learning,2,4,3,4,5,4,4,4,4,4,8,Always,Yes,"Time management, Personal motivation",,
2/18/2025 10:53:19,2nd year,CSE,Hands-on projects,3,4,4,4,4,4,3,3,4,4,7,Occasionally,"No, it's too little","Ineffective teaching methods, Lack of study resources",,
2/18/2025 10:54:18,4th year,CSE,Self-Study,3,4,4,5,5,5,5,5,5,4,8,Frequently,Yes,"Lack of study resources, Time management",,
2/18/2025 10:54:40,3rd year,cse,Lecture-based learning,4,4,4,4,4,4,4,4,4,4,10,Rarely,Yes,Personal motivation,,
2/18/2025 10:55:00,3rd year,English Honors ,Lecture-based learning,4,4,3,4,5,5,5,4,4,4,12 hours per week ,Frequently,Yes,"Time management, Personal motivation",none,none
2/18/2025 10:55:24,3rd year,CSE,Hands-on projects,3,4,5,5,3,4,5,5,5,5,6,Frequently,"No, it's too little",Difficult course material,,
2/18/2025 10:55:43,2nd year,CSE,Hands-on projects,4,4,4,4,4,4,4,4,4,4,11,Always,Yes,Ineffective teaching methods,,
2/18/2025 10:56:22,2nd year,CSE,Lecture-based learning,4,5,5,4,3,5,5,4,3,4,9,Frequently,Yes,Lack of study resources,,
2/18/2025 10:56:42,3rd year,CSE,Group discussions,4,4,4,4,4,4,4,4,4,4,11,Frequently,Yes,Time management,,
2/18/2025 10:57:56,3rd year,CSE,Hands-on projects,4,3,4,5,5,5,5,5,5,5,7,Occasionally,"No, it's too much",Personal motivation,,
2/18/2025 11:00:45,3rd year,CSE ,Hands-on projects,4,2,3,2,1,2,2,2,3,4,3,Occasionally,"No, it's too little","Lack of study resources, Personal motivation",,
2/18/2025 11:04:54,3rd year,CSE ,Hands-on projects,4,2,3,3,5,4,4,3,5,5,7,Frequently,"No, it's too little","Time management, Personal motivation",,
2/18/2025 11:06:13,3rd year,CSE ,Hands-on projects,4,4,4,3,2,4,5,4,3,5,9,Frequently,Yes,"Time management, Personal motivation",,
2/18/2025 11:07:00,3rd year,CSE ,Group discussions,4,5,5,5,4,3,4,5,5,5,5,Occasionally,"No, it's too much","Lack of study resources, Personal motivation",,
2/18/2025 11:07:52,3rd year,CSE ,Hands-on projects,5,5,5,5,5,5,5,5,5,5,6,Frequently,Yes,"Ineffective teaching methods, Lack of study resources",,
2/18/2025 11:08:46,3rd year,CSE ,Self-Study,4,3,5,4,4,5,5,4,3,5,7,Frequently,Yes,Difficult course material,,
2/18/2025 11:10:04,4th year,CSE ,Hands-on projects,5,5,5,5,3,4,4,4,3,4,4,Occasionally,"No, it's too little","Time management, Personal motivation",,
2/18/2025 11:11:39,3rd year,CSE ,Lecture-based learning,4,5,5,5,3,4,4,5,5,5,6,Frequently,Yes,"Lack of study resources, Personal motivation",,
2/18/2025 11:12:30,3rd year,CSE ,Lecture-based learning,4,5,5,4,5,5,4,3,4,3,7,Frequently,"No, it's too much",Lack of study resources,,
2/18/2025 11:15:13,3rd year,CSE ,Group discussions,3,4,5,5,4,5,4,4,4,5,3,Frequently,Yes,"Time management, Personal motivation",,
2/18/2025 11:16:04,2nd year,CSE ,Lecture-based learning,4,5,4,5,5,5,3,4,4,4,7,Frequently,"No, it's too much","Ineffective teaching methods, Lack of study resources",,
2/18/2025 11:18:01,3rd year,Bachelors in commerce ,Lecture-based learning,3,3,2,4,3,3,4,4,3,2,5,Always,"No, it's too much","Difficult course material, Ineffective teaching methods, Time management",,
2/18/2025 11:19:57,3rd year,CSE ,Lecture-based learning,4,5,5,4,4,5,5,4,4,3,6,Frequently,"No, it's too much",Time management,,
2/18/2025 11:21:32,3rd year,CSE ,Hands-on projects,4,3,3,4,5,5,5,3,4,4,CSE ,Frequently,"No, it's too much","Difficult course material, Ineffective teaching methods",,
2/18/2025 11:22:24,3rd year,CSE ,Group discussions,4,5,5,5,4,4,4,5,5,5,6,Occasionally,"No, it's too much","Lack of study resources, Time management",,
2/18/2025 11:23:21,2nd year,CSE ,Hands-on projects,5,5,5,3,4,4,4,4,3,5,8,Frequently,"No, it's too much","Ineffective teaching methods, Lack of study resources",,
2/18/2025 11:24:03,4th year,CSE ,Lecture-based learning,3,4,4,5,5,4,4,4,5,5,9,Occasionally,Yes,Difficult course material,,
2/18/2025 11:24:55,3rd year,CSE ,Group discussions,4,5,5,5,4,5,5,4,4,5,8,Frequently,"No, it's too much",Lack of study resources,,
2/18/2025 11:41:15,3rd year,CSE,Hands-on projects,4,4,4,4,4,4,4,4,5,5,5,Occasionally,Yes,Lack of study resources,,
2/18/2025 11:42:14,1st year,CSE ,Lecture-based learning,3,2,3,1,2,2,3,3,3,2,6,Frequently,Yes,"Lack of study resources, Time management",,
2/19/2025 15:46:20,2nd year,MBBS ,Hands-on projects,2,2,3,3,3,4,2,2,3,3,6,Frequently,Yes,"Difficult course material, Ineffective teaching methods, Lack of study resources, Time management",,